"SUM_YRMTH","VDS_CD","COCT_CD","TRFFCVLM","OCCPNCY","SPD_AVG","NMLT_CSCNT","REVISN_CSCNT","LAST_CHANGE_DAYHMINSEC"
"202202","0010VDE17956","1","471394","0.32","87.88","79971","662","20220301083036"
"202202","0010VDE17957","1","473251","0.34","91.48","79970","667","20220301083036"
"202202","0010VDE18540","1","472503","4.07","85.09","80618","22","20220301083036"
"202202","0010VDE18561","1","470130","3.74","89.24","80632","8","20220301083036"
"202202","0010VDE18562","1","470057","3.71","89.29","80632","8","20220301083036"
"202202","0010VDE18563","1","470267","3.40","91.49","80632","8","20220301083036"
"202202","0010VDE18564","1","470321","3.32","92.88","80632","8","20220301083036"
"202202","0010VDE18565","1","470752","3.35","92.90","80632","8","20220301083036"
"202202","0010VDE18566","1","470842","3.31","93.65","80623","17","20220301083036"
"202202","0010VDE18700","1","470029","3.60","103.24","79888","752","20220301083036"
"202202","0010VDE18800","1","476810","3.55","82.46","79627","1007","20220301083036"
"202202","0010VDE18900","1","478313","4.19","93.27","80627","13","20220301083036"
"202202","0010VDE19000","1","478824","4.32","88.62","80631","9","20220301083036"
"202202","0010VDE19100","1","560840","5.64","75.18","80623","17","20220301083036"
"202202","0010VDE19200","1","466367","4.11","77.98","80337","303","20220301083036"
"202202","0010VDE19800","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE19900","1","461533","2.77","99.02","80386","254","20220301083036"
"202202","0010VDE20000","1","739385","2.96","91.07","80399","211","20220301083036"
"202202","0010VDE20100","1","686898","3.58","93.48","80627","13","20220301083036"
"202202","0010VDE20110","1","753802","3.45","96.36","75224","4588","20220301083036"
"202202","0010VDE20203","1","763928","3.34","98.14","78431","1929","20220301083036"
"202202","0010VDE20300","1","686212","3.39","98.22","80628","12","20220301083036"
"202202","0010VDE20400","1","687081","3.36","97.27","80420","220","20220301083036"
"202202","0010VDE20500","1","685380","3.27","94.02","80469","171","20220301083036"
"202202","0010VDE20600","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE20750","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE20780","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE20800","1","732447","4.70","98.32","80618","22","20220301083036"
"202202","0010VDE20900","1","452836","4.01","92.69","80619","21","20220301083036"
"202202","0010VDE21000","1","1206826","7.70","97.71","80611","29","20220301083036"
"202202","0010VDE21100","1","920935","13.95","75.32","80628","12","20220301083036"
"202202","0010VDE21200","1","956765","5.49","86.27","80632","8","20220301083036"
"202202","0010VDE21210","1","634040","8.53","76.11","80464","176","20220301083036"
"202202","0010VDE21310","1","387833","12.51","70.98","80614","25","20220301083036"
"202202","0010VDE21350","1","1081771","5.21","98.64","80637","3","20220301083036"
"202202","0010VDE21400","1","948173","5.01","84.56","80626","14","20220301083036"
"202202","0010VDE21500","1","810367","3.85","85.28","80629","11","20220301083036"
"202202","0010VDE21510","1","0","0.00","0.00","80633","7","20220301083036"
"202202","0010VDE21600","1","1012369","7.95","76.03","80625","15","20220301083036"
"202202","0010VDE21610","1","0","0.00","0.00","80633","7","20220301083036"
"202202","0010VDE21700","1","1072841","5.11","86.91","80630","10","20220301083036"
"202202","0010VDE21800","1","1393958","13.55","89.08","80525","115","20220301083036"
"202202","0010VDE21900","1","1170265","5.15","86.28","80628","12","20220301083036"
"202202","0010VDE22000","1","1571985","6.07","100.76","80631","9","20220301083036"
"202202","0010VDE22100","1","1413112","5.38","83.11","80632","8","20220301083036"
"202202","0010VDE22200","1","694207","5.45","82.58","80633","7","20220301083036"
"202202","0010VDE22300","1","649147","7.16","87.28","80631","8","20220301083036"
"202202","0010VDE22400","1","863686","4.97","76.94","80631","9","20220301083036"
"202202","0010VDE22500","1","1224592","12.86","77.32","80630","10","20220301083036"
"202202","0010VDE22600","1","1379986","9.57","84.04","80619","18","20220301083036"
"202202","0010VDE22700","1","1125037","6.46","91.99","80631","9","20220301083036"
"202202","0010VDE22710","1","101402","19.30","25.79","63224","16","20220301083036"
"202202","0010VDE22720","1","90813","4.62","37.41","63228","12","20220301083036"
"202202","0010VDE22800","1","1290982","6.63","88.19","80632","8","20220301083036"
"202202","0010VDE22900","1","1173166","4.42","91.01","80633","7","20220301083036"
"202202","0010VDE23000","1","1170189","4.08","103.32","80631","9","20220301083036"
"202202","0010VDE23010","1","43951","1.62","92.52","63223","17","20220301083036"
"202202","0010VDE23020","1","106806","27.31","19.82","54251","26377","20220301083036"
"202202","0010VDE23100","1","1154859","6.03","88.53","80635","5","20220301083036"
"202202","0010VDE23300","1","935623","4.32","94.71","80633","7","20220301083036"
"202202","0010VDE23400","1","1484176","5.81","90.09","79945","19","20220301083036"
"202202","0010VDE23500","1","962855","5.48","98.71","80604","18","20220301083036"
"202202","0010VDE23600","1","1038215","5.62","93.93","80637","3","20220301083036"
"202202","0010VDE23610","1","-1","-1.00","-1.00","63226","14","20220301083036"
"202202","0010VDE23620","1","140938","6.54","54.38","63226","14","20220301083036"
"202202","0010VDE23700","1","668250","9.61","90.05","80636","4","20220301083036"
"202202","0010VDE23800","1","967541","6.01","86.15","80634","6","20220301083036"
"202202","0010VDE23900","1","973140","5.89","93.35","80391","69","20220301083036"
"202202","0010VDE24000","1","793369","7.84","92.82","80634","6","20220301083036"
"202202","0010VDE24100","1","742747","5.74","85.04","80604","36","20220301083036"
"202202","0010VDE24200","1","658317","15.02","76.51","79836","804","20220301083036"
"202202","0010VDE24300","1","1074677","6.34","97.31","80630","10","20220301083036"
"202202","0010VDE24400","1","1203143","7.71","74.73","80631","9","20220301083036"
"202202","0010VDE24500","1","1024123","5.22","93.30","80617","23","20220301083036"
"202202","0010VDE24600","1","1023733","5.54","90.65","80620","20","20220301083036"
"202202","0010VDE24700","1","1030583","6.58","88.66","80415","70","20220301083036"
"202202","0010VDE24800","1","640646","10.54","82.10","78997","1174","20220301083036"
"202202","0010VDE24900","1","853567","21.13","85.24","80629","11","20220301083036"
"202202","0010VDE25000","1","1136208","5.28","117.51","80631","9","20220301083036"
"202202","0010VDE25100","1","1035756","6.18","95.06","80628","12","20220301083036"
"202202","0010VDE25200","1","1301190","7.28","91.56","80631","9","20220301083036"
"202202","0010VDE25300","1","822218","9.68","101.86","80630","10","20220301083036"
"202202","0010VDE25310","1","46614","3.66","67.01","63229","11","20220301083036"
"202202","0010VDE25320","1","58671","8.76","76.92","63016","222","20220301083036"
"202202","0010VDE25450","1","1294419","7.38","93.76","80636","4","20220301083036"
"202202","0010VDE25500","1","1188528","6.60","90.45","80627","13","20220301083036"
"202202","0010VDE25600","1","817250","20.22","72.53","79944","523","20220301083036"
"202202","0010VDE25610","1","-1","-1.00","-1.00","0","176","20220301083036"
"202202","0010VDE25700","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE25800","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE25810","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE25900","1","-1","-1.00","-1.00","62188","25","20220301083036"
"202202","0010VDE26000","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE26100","1","1308874","6.73","94.54","80626","14","20220301083036"
"202202","0010VDE26200","1","0","0.00","0.00","80629","11","20220301083036"
"202202","0010VDE26300","1","1929047","7.39","87.86","80630","10","20220301083036"
"202202","0010VDE26310","1","203417","5.37","58.50","63231","9","20220301083036"
"202202","0010VDE26311","1","379433","7.01","46.13","80630","10","20220301083036"
"202202","0010VDE26350","1","2100831","5.85","93.31","80622","18","20220301083036"
"202202","0010VDE26400","1","1950592","6.93","107.36","80607","33","20220301083036"
"202202","0010VDE26500","1","1935444","8.31","81.05","80627","13","20220301083036"
"202202","0010VDE26600","1","2162036","7.36","88.74","80425","173","20220301083036"
"202202","0010VDE26700","1","2163171","6.75","96.37","80629","11","20220301083036"
"202202","0010VDE26750","1","158425","2.71","94.72","80633","7","20220301083036"
"202202","0010VDE26800","1","2100925","12.26","96.44","80569","71","20220301083036"
"202202","0010VDE26900","1","2001852","15.49","85.07","80122","518","20220301083036"
"202202","0010VDE27000","1","1895382","7.28","86.17","80627","13","20220301083036"
"202202","0010VDE27100","1","1190667","16.70","86.03","80117","523","20220301083036"
"202202","0010VDE27150","1","1941647","9.21","101.10","80618","19","20220301083036"
"202202","0010VDE27200","1","1922304","7.80","107.50","80629","11","20220301083036"
"202202","0010VDE27300","1","1716059","6.26","93.73","80630","10","20220301083036"
"202202","0010VDE27310","1","-1","-1.00","-1.00","63230","10","20220301083036"
"202202","0010VDE27320","1","-1","-1.00","-1.00","63230","10","20220301083036"
"202202","0010VDE27400","1","55","8.38","99.33","80631","9","20220301083036"
"202202","0010VDE27500","1","961914","8.67","86.41","80474","166","20220301083036"
"202202","0010VDE27600","1","-1","-1.00","-1.00","0","0","20220301083036"
"202202","0010VDE27610","1","212629","3.21","81.65","80634","6","20220301083036"
"202202","0010VDE27700","1","1619697","6.75","88.56","80630","10","20220301083036"
"202202","0010VDE27710","1","152683","4.54","64.25","63232","8","20220301083036"
"202202","0010VDE27720","1","553041","12.62","55.02","80502","138","20220301083036"
"202202","0010VDE27800","1","1623081","9.90","79.00","80471","17","20220301083036"
